IID	Mildew
SRR5912566	1
SRR5140383	1
SRR5912390	1
SRR5140395	1
SRR5912537	1
SRR5140334	1
SRR5912260	1
SRR5912292	1
SRR5912541	1
SRR5912289	1
SRR5140329	1
SRR5140354	1
SRR5140342	1
SRR5912327	1
SRR5140324	1
SRR5912265	1
SRR5912259	1
SRR5912564	1
SRR5140330	1
SRR5912392	1
SRR5140331	1
SRR5912520	1
SRR5912522	1
SRR5912291	1
SRR5140347	1
SRR5140326	1
SRR5140387	1
SRR5912457	2
SRR5912539	1
SRR5912264	1
SRR5140349	1
SRR5912293	2
SRR5912296	2
SRR10484609	2
SRR5912391	2
SRR5140345	2
SRR5140386	2
SRR5912198	2
SRR5140367	2
SRR5912456	2
SRR5912275	2
SRR5140357	2
SRR5140321	2
SRR5912217	2
SRR5912219	2
SRR5140344	2
SRR5912221	2
SRR5912417	2
SRR5140390	2
SRR5140391	2
SRR5912262	2
SRR10484608	2
SRR5140358	2
SRR5912329	1
SRR5912534	2
SRR5912490	2
SRR5140336	2
SRR5140325	2
SRR5140339	2
SRR5912515	2
SRR5912517	2
SRR5912519	2
SRR5140369	2
SRR5140378	2
SRR5912362	2
SRR5912229	2
SRR5140392	2
SRR5893988	2
